N_Rondas         N_Hilos           Tiempo
10               1                 0.224653
10               5                 0.084399
10               10                0.061167
10               15                0.045176
10               20                0.051177
10               30                0.056099
10               40                0.061452
10               60                0.064156
10               80                0.082549
10               100               0.091350
10               150               0.126280
10               170               0.128309
10               200               0.152207

120              1                 4.187527
120              5                 1.207545
120              8                 0.803203
120              10                1.073372
120              14                0.923013
120              18                1.029641
120              25                0.891663
120              30                0.930677
120              35                0.969881
120              40                1.102904
120              45                0.961772
120              50                1.042013
120              60                1.173359
120              70                1.205158
120              100               1.471053
120              150               2.100376
120              250               2.408347



65               1                 1.960843
65               3                 0.831465
65               5                 0.507034
65               7                 0.566822
65               10                0.407085
65               13                0.393989
65               16                0.485269
65               19                0.384158
65               22                0.413494
65               25                0.381026
65               28                0.536185
65               32                0.463943
65               35                0.450713
65               40                0.468359
65               45                0.412028
65               50                0.516921
65               55                0.498669
65               60                0.529253
65               70                0.594946
65               75                0.677883
65               80                0.645167
65               90                0.712243
65               100               0.807837
65               130               0.849265
65               150               1.065546
65               180               1.096850
65               200               0.994458
65               250               1.209623
65               280               1.295718

